Mã yêu cầu SRS,Hệ thống,Phân hệ,Màn hình/nhóm,Chức năng,Vai trò,Nguồn/trang SRS,Vị trí/giải thích
SRS-4.2.11-10,JPULSE,F,Hóa đơn điện tử,Thử phát hành lại,Kế toán,"SRS §4.2.11, tr.83",Ô F4 / F03 trong sơ đồ chi tiết/luồng
SRS-4.2.11-11,JPULSE,F,Hóa đơn điện tử,Xử lý case đối soát,Kế toán,"SRS §4.2.11, tr.83",Ô F5 / F03 trong sơ đồ chi tiết/luồng
SRS-4.2.11-12,JPULSE,F,Hóa đơn điện tử,"Xem / tải PDF, XML",Kế toán,"SRS §4.2.11, tr.83",Ô F4 / F03 trong sơ đồ chi tiết/luồng
SRS-4.2.11-13,JPULSE,F,Hóa đơn điện tử,Gửi thông tin xuất hóa đơn,Kế toán,"SRS §4.2.11, tr.83",Ô F3 / F03 trong sơ đồ chi tiết/luồng
SRS-4.2.11-14,JPULSE,F,Hóa đơn điện tử,Kiểm tra token và chống gửi trùng,Kế toán,"SRS §4.2.11, tr.83","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: F3 / F03"
SRS-4.2.12-01,JPULSE,G,Nhân sự,Quản lý hồ sơ nhân viên,HR / quản trị nhân sự theo quyền,"SRS §4.2.12, tr.84",Ô G1 trong sơ đồ chi tiết/luồng
SRS-4.2.12-02,JPULSE,G,Nhân sự,Xem hồ sơ / hợp đồng của tôi,Nhân viên (hồ sơ của tôi),"SRS §4.2.12, tr.84",Ô G2 trong sơ đồ chi tiết/luồng
SRS-4.2.12-03,JPULSE,G,Nhân sự,Lên lịch chuyển trạng thái làm việc,HR / quản trị nhân sự theo quyền,"SRS §4.2.12, tr.84",Ô G1 trong sơ đồ chi tiết/luồng
SRS-4.2.12-04,JPULSE,G,Nhân sự,Quản lý hợp đồng,HR / quản trị nhân sự theo quyền,"SRS §4.2.12, tr.84",Ô G2 trong sơ đồ chi tiết/luồng
SRS-4.2.12-05,JPULSE,G,Nhân sự,Tạo hợp đồng,HR / quản trị nhân sự theo quyền,"SRS §4.2.12, tr.84",Ô G2 trong sơ đồ chi tiết/luồng
SRS-4.2.12-06,JPULSE,G,Nhân sự,Sửa hợp đồng,HR / quản trị nhân sự theo quyền,"SRS §4.2.12, tr.84",Ô G2 trong sơ đồ chi tiết/luồng
SRS-4.2.12-07,JPULSE,G,Nhân sự,Gia hạn hợp đồng,HR / quản trị nhân sự theo quyền,"SRS §4.2.12, tr.84",Ô G2 trong sơ đồ chi tiết/luồng
SRS-4.2.12-08,JPULSE,G,Nhân sự,Hủy / chấm dứt hợp đồng,HR / quản trị nhân sự theo quyền,"SRS §4.2.12, tr.84",Ô G2 trong sơ đồ chi tiết/luồng
SRS-4.2.12-09,JPULSE,G,Nhân sự,"Kiểm tra vòng đời, ngày và revision",HR / quản trị nhân sự theo quyền,"SRS §4.2.12, tr.84","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: G1"
SRS-4.2.12-10,JPULSE,G,Nhân sự,Tải và quản lý tệp hợp đồng,HR / quản trị nhân sự theo quyền,"SRS §4.2.12, tr.84",Ô G2 trong sơ đồ chi tiết/luồng
SRS-4.2.12-11,JPULSE,G,Nhân sự,Tải tệp trực tiếp lên storage,HR / quản trị nhân sự theo quyền,"SRS §4.2.12, tr.84",Ô G2 trong sơ đồ chi tiết/luồng
SRS-4.2.12-12,JPULSE,G,Nhân sự,Nhập lịch sử hợp đồng,HR / quản trị nhân sự theo quyền,"SRS §4.2.12, tr.84",Ô G2 trong sơ đồ chi tiết/luồng
SRS-4.2.12-13,JPULSE,G,Nhân sự,Ghi nhật ký,HR / quản trị nhân sự theo quyền,"SRS §4.2.12, tr.84","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: G1"
SRS-4.2.13-01,JPULSE,G,Nhân sự,Thực hiện chấm công,Nhân viên,"SRS §4.2.13, tr.85",Ô G3 / F05 trong sơ đồ chi tiết/luồng
SRS-4.2.13-02,JPULSE,G,Nhân sự,Chấm công tại cơ sở,Nhân viên,"SRS §4.2.13, tr.85",Ô G3 / F05 trong sơ đồ chi tiết/luồng
SRS-4.2.13-03,JPULSE,G,Nhân sự,Chấm công theo thỏa thuận ngoài cơ sở,Nhân viên,"SRS §4.2.13, tr.85",Ô G3 / F05 trong sơ đồ chi tiết/luồng
SRS-4.2.13-04,JPULSE,G,Nhân sự,Tải chính sách và trạng thái chấm công,Nhân viên,"SRS §4.2.13, tr.85","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: G3 / F05"
SRS-4.2.13-05,JPULSE,G,Nhân sự,Xác minh IP / GPS / miễn trừ,Nhân viên,"SRS §4.2.13, tr.85",Ô G3 / F05 trong sơ đồ chi tiết/luồng
SRS-4.2.13-06,JPULSE,G,Nhân sự,Gửi báo cáo đi muộn,Nhân viên,"SRS §4.2.13, tr.85",Ô G3 / F05 trong sơ đồ chi tiết/luồng
SRS-4.2.13-07,JPULSE,G,Nhân sự,Cấu hình chấm công,HR / quản trị,"SRS §4.2.13, tr.85",Ô G4 trong sơ đồ chi tiết/luồng
SRS-4.2.13-08,JPULSE,G,Nhân sự,Cấu hình chính sách cơ sở,HR / quản trị,"SRS §4.2.13, tr.85",Ô G4 trong sơ đồ chi tiết/luồng
SRS-4.2.13-09,JPULSE,G,Nhân sự,Cấu hình miễn trừ,HR / quản trị,"SRS §4.2.13, tr.85",Ô G4 trong sơ đồ chi tiết/luồng
SRS-4.2.13-10,JPULSE,G,Nhân sự,Phê duyệt thỏa thuận làm việc,HR / quản trị,"SRS §4.2.13, tr.85",Ô G4 trong sơ đồ chi tiết/luồng
SRS-4.2.13-11,JPULSE,G,Nhân sự,Xem / xuất dữ liệu chấm công,Nhân viên,"SRS §4.2.13, tr.85",Ô G3 / F05 trong sơ đồ chi tiết/luồng
SRS-4.2.14-01,JPULSE,G,Nhân sự,Quản lý đơn nghỉ,Nhân viên,"SRS §4.2.14, tr.86",Ô G5 / F06 trong sơ đồ chi tiết/luồng
SRS-4.2.14-02,JPULSE,G,Nhân sự,Tạo / sửa đơn nháp,Nhân viên,"SRS §4.2.14, tr.86",Ô G5 / F06 trong sơ đồ chi tiết/luồng
SRS-4.2.14-03,JPULSE,G,Nhân sự,Gửi đơn nghỉ,Nhân viên,"SRS §4.2.14, tr.86",Ô G5 / F06 trong sơ đồ chi tiết/luồng
SRS-4.2.14-04,JPULSE,G,Nhân sự,Hủy đơn nghỉ,Nhân viên,"SRS §4.2.14, tr.86",Ô G5 / F06 trong sơ đồ chi tiết/luồng
SRS-4.2.14-05,JPULSE,G,Nhân sự,Xem số dư và lịch sử phép,Nhân viên,"SRS §4.2.14, tr.86",Ô G5 / F06 trong sơ đồ chi tiết/luồng
SRS-4.2.14-06,JPULSE,G,Nhân sự,Kiểm tra số dư và trùng lịch,Nhân viên,"SRS §4.2.14, tr.86","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: G5 / F06"
SRS-4.2.14-07,JPULSE,G,Nhân sự,Ra quyết định duyệt,Người duyệt / quản trị phép,"SRS §4.2.14, tr.86",Ô G5 / F06 trong sơ đồ chi tiết/luồng
SRS-4.2.14-08,JPULSE,G,Nhân sự,Duyệt đơn,Người duyệt / quản trị phép,"SRS §4.2.14, tr.86",Ô G5 / F06 trong sơ đồ chi tiết/luồng
SRS-4.2.14-09,JPULSE,G,Nhân sự,Từ chối đơn,Nhân viên,"SRS §4.2.14, tr.86",Ô G5 / F06 trong sơ đồ chi tiết/luồng
SRS-4.2.14-10,JPULSE,G,Nhân sự,Chuyển người duyệt,Người duyệt / quản trị phép,"SRS §4.2.14, tr.86",Ô G5 / F06 trong sơ đồ chi tiết/luồng
SRS-4.2.14-11,JPULSE,G,Nhân sự,Quản trị phép,HR / quản trị phép,"SRS §4.2.14, tr.86",Ô G6 trong sơ đồ chi tiết/luồng
SRS-4.2.14-12,JPULSE,G,Nhân sự,Cấu hình chính sách và cấp duyệt,HR / quản trị phép,"SRS §4.2.14, tr.86",Ô G6 trong sơ đồ chi tiết/luồng
SRS-4.2.14-13,JPULSE,G,Nhân sự,Quản lý ngày lễ,HR / quản trị phép,"SRS §4.2.14, tr.86",Ô G6 trong sơ đồ chi tiết/luồng
SRS-4.2.14-14,JPULSE,G,Nhân sự,Điều chỉnh số dư,HR / quản trị phép,"SRS §4.2.14, tr.86",Ô G6 trong sơ đồ chi tiết/luồng
SRS-4.2.14-15,JPULSE,G,Nhân sự,Nhập lịch sử nghỉ phép,HR / quản trị phép,"SRS §4.2.14, tr.86",Ô G6 trong sơ đồ chi tiết/luồng
SRS-4.2.15-01,JPULSE,H,Tài liệu / Thông báo,Quản lý tài liệu,Người được cấp quyền,"SRS §4.2.15, tr.87",Ô H2 trong sơ đồ chi tiết/luồng
SRS-4.2.15-02,JPULSE,H,Tài liệu / Thông báo,Quản lý tài liệu quy trình,Người được cấp quyền,"SRS §4.2.15, tr.87",Ô H2 trong sơ đồ chi tiết/luồng
SRS-4.2.15-03,JPULSE,H,Tài liệu / Thông báo,Quản lý biểu mẫu,Người được cấp quyền,"SRS §4.2.15, tr.87",Ô H2 trong sơ đồ chi tiết/luồng
SRS-4.2.15-04,JPULSE,H,Tài liệu / Thông báo,Quản lý bộ biểu mẫu,Người được cấp quyền,"SRS §4.2.15, tr.87",Ô H2 trong sơ đồ chi tiết/luồng
SRS-4.2.15-05,JPULSE,H,Tài liệu / Thông báo,Quản lý phiên bản tệp,Người được cấp quyền,"SRS §4.2.15, tr.87","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: H2"
SRS-4.2.15-06,JPULSE,H,Tài liệu / Thông báo,Gửi thông báo,Người được cấp quyền,"SRS §4.2.15, tr.87",Ô H3 trong sơ đồ chi tiết/luồng
SRS-4.2.15-07,JPULSE,H,Tài liệu / Thông báo,Gửi thông báo trong ứng dụng,Người được cấp quyền,"SRS §4.2.15, tr.87",Ô H3 trong sơ đồ chi tiết/luồng
SRS-4.2.15-08,JPULSE,H,Tài liệu / Thông báo,Gửi email,Người được cấp quyền,"SRS §4.2.15, tr.87",Ô H3 trong sơ đồ chi tiết/luồng
SRS-4.2.15-09,JPULSE,H,Tài liệu / Thông báo,Đăng ký / gửi push,Người được cấp quyền,"SRS §4.2.15, tr.87","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: H4"
SRS-4.2.15-10,JPULSE,H,Tài liệu / Thông báo,Phân giải người nhận và làm sạch nội dung,Người được cấp quyền,"SRS §4.2.15, tr.87","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: H3"
SRS-4.2.15-11,JPULSE,H,Tài liệu / Thông báo,Xem lịch sử gửi,Người được cấp quyền,"SRS §4.2.15, tr.87",Ô H3 trong sơ đồ chi tiết/luồng
SRS-4.2.15-12,JPULSE,H,Tài liệu / Thông báo,Ghi nhật ký thay đổi,Người được cấp quyền,"SRS §4.2.15, tr.87","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: H2"
SRS-4.2.16-01,JPULSE,I,Quản trị hệ thống,Quản lý truy cập,Quản trị hệ thống / kiểm toán viên theo quyền,"SRS §4.2.16, tr.88",Ô I1 trong sơ đồ chi tiết/luồng
SRS-4.2.16-02,JPULSE,I,Quản trị hệ thống,Quản lý người dùng,Quản trị hệ thống / kiểm toán viên theo quyền,"SRS §4.2.16, tr.88",Ô I1 trong sơ đồ chi tiết/luồng
SRS-4.2.16-03,JPULSE,I,Quản trị hệ thống,Quản lý vai trò và quyền,Quản trị hệ thống / kiểm toán viên theo quyền,"SRS §4.2.16, tr.88",Ô I2 trong sơ đồ chi tiết/luồng
SRS-4.2.16-04,JPULSE,I,Quản trị hệ thống,Cấu hình phạm vi cơ sở,Quản trị hệ thống / kiểm toán viên theo quyền,"SRS §4.2.16, tr.88",Ô I1 trong sơ đồ chi tiết/luồng
SRS-4.2.16-05,JPULSE,I,Quản trị hệ thống,Kiểm tra trần phân quyền,Quản trị hệ thống / kiểm toán viên theo quyền,"SRS §4.2.16, tr.88","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: I2"
SRS-4.2.16-06,JPULSE,I,Quản trị hệ thống,Tính lại access snapshot,Quản trị hệ thống / kiểm toán viên theo quyền,"SRS §4.2.16, tr.88","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: I1"
SRS-4.2.16-07,JPULSE,I,Quản trị hệ thống,Gửi lời mời người dùng,Quản trị hệ thống / kiểm toán viên theo quyền,"SRS §4.2.16, tr.88",Ô I1 trong sơ đồ chi tiết/luồng
SRS-4.2.16-08,JPULSE,I,Quản trị hệ thống,Xem quyền hiệu lực,Quản trị hệ thống / kiểm toán viên theo quyền,"SRS §4.2.16, tr.88",Ô I1 trong sơ đồ chi tiết/luồng
SRS-4.2.16-09,JPULSE,I,Quản trị hệ thống,Cấu hình Open API,Quản trị hệ thống / kiểm toán viên theo quyền,"SRS §4.2.16, tr.88",Ô I4 trong sơ đồ chi tiết/luồng
SRS-4.2.16-10,JPULSE,I,Quản trị hệ thống,Kiểm tra kết nối,Quản trị hệ thống / kiểm toán viên theo quyền,"SRS §4.2.16, tr.88","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: I4"
SRS-4.2.16-11,JPULSE,I,Quản trị hệ thống,Tra cứu audit log,Quản trị hệ thống / kiểm toán viên theo quyền,"SRS §4.2.16, tr.88",Ô I3 trong sơ đồ chi tiết/luồng
SRS-4.2.16-12,JPULSE,I,Quản trị hệ thống,Xuất audit log,Quản trị hệ thống / kiểm toán viên theo quyền,"SRS §4.2.16, tr.88",Ô I3 trong sơ đồ chi tiết/luồng
SRS-4.2.16-13,JPULSE,I,Quản trị hệ thống,Ghi audit cho thao tác quản trị,Quản trị hệ thống / kiểm toán viên theo quyền,"SRS §4.2.16, tr.88","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: I3"
SRS-4.2.17-01,JPOS,JPOS,JPOS (ngoài IA JPULSE),Xử lý đơn POS,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-02,JPOS,JPOS,JPOS (ngoài IA JPULSE),Tạo giao dịch bán hàng,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-03,JPOS,JPOS,JPOS (ngoài IA JPULSE),Xem lịch sử / chi tiết đơn,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-04,JPOS,JPOS,JPOS (ngoài IA JPULSE),Hủy đơn local,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-05,JPOS,JPOS,JPOS (ngoài IA JPULSE),Hoàn tiền đơn đã đồng bộ,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-06,JPOS,JPOS,JPOS (ngoài IA JPULSE),Thử lại đồng bộ,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-07,JPOS,JPOS,JPOS (ngoài IA JPULSE),Đăng nhập JPOS,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-08,JPOS,JPOS,JPOS (ngoài IA JPULSE),"Xác minh tài khoản, thiết bị và quyền",Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-09,JPOS,JPOS,JPOS (ngoài IA JPULSE),Hoàn tất thanh toán,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-10,JPOS,JPOS,JPOS (ngoài IA JPULSE),Xác nhận chuyển khoản thủ công,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-11,JPOS,JPOS,JPOS (ngoài IA JPULSE),Áp dụng voucher,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-12,JPOS,JPOS,JPOS (ngoài IA JPULSE),In hóa đơn / vé,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-13,JPOS,JPOS,JPOS (ngoài IA JPULSE),Đồng bộ đơn với máy chủ / JoyWorld,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-14,JPOS,JPOS,JPOS (ngoài IA JPULSE),Kết ca,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.2.17-15,JPOS,JPOS,JPOS (ngoài IA JPULSE),Nạp bù tài khoản thành viên,Thu ngân / người có quyền JPOS,"SRS §4.2.17, tr.89",Ngoài IA JPULSE: vận hành JPOS; F04 chỉ nêu luồng dữ liệu sang JPULSE
SRS-4.1.19-01,JPULSE,K,Thiết bị POS,Tạo mã ghi danh / kích hoạt,Quản trị viên POS / quản lý cơ sở,"SRS §4.1.19, tr.72",Chi tiết K
SRS-4.1.19-02,JPULSE,K,Thiết bị POS,Khóa / mở / chuyển cơ sở,Quản trị viên POS / quản lý cơ sở,"SRS §4.1.19, tr.72",Chi tiết K
SRS-4.1.19-03,JPULSE,K,Thiết bị POS,Xem nhật ký POS,Quản trị viên POS / quản lý cơ sở,"SRS §4.1.19, tr.72",Chi tiết K
SRS-4.1.19-04,JPULSE,K,Cấu hình POS,Cấu hình hóa đơn in / vé,Quản trị viên POS / quản lý cơ sở,"SRS §4.1.19, tr.72",Chi tiết K
SRS-4.1.19-05,JPULSE,K,Cấu hình POS,Cấu hình màn hình khách,Quản trị viên POS / quản lý cơ sở,"SRS §4.1.19, tr.72",Chi tiết K
SRS-4.1.19-06,JPULSE,K,Cấu hình POS,Cấu hình sản phẩm hiển thị,Quản trị viên POS / quản lý cơ sở,"SRS §4.1.19, tr.72",Chi tiết K
SRS-4.1.19-07,JPULSE,K,Cấu hình POS,Cấu hình thanh toán / rút thăm / voucher JPOS,Quản trị viên POS / quản lý cơ sở,"SRS §4.1.19, tr.72",Chi tiết K
SRS-4.1.19-08,JPULSE,K,Cấu hình POS,Đồng bộ cấu hình theo phiên bản,Quản trị viên POS / quản lý cơ sở,"SRS §4.1.19, tr.72",Chi tiết K
SRS-4.1.20-01,JPULSE,J,Chiến dịch voucher,Tạo / theo dõi chiến dịch,Quản trị marketing,"SRS §4.1.20, tr.73; §3.1.8, tr.37–39",Chi tiết J
SRS-4.1.20-02,JPULSE,J,Chiến dịch voucher,Sinh thêm mã,Quản trị marketing,"SRS §4.1.20, tr.73; §3.1.8, tr.37–39",Chi tiết J
SRS-4.1.20-03,JPULSE,J,Chiến dịch voucher,Gia hạn / tạm dừng / kích hoạt / kết thúc,Quản trị marketing,"SRS §4.1.20, tr.73; §3.1.8, tr.37–39",Chi tiết J
SRS-4.1.20-04,JPULSE,J,Mã voucher,Xem danh sách / trạng thái mã,Quản trị marketing,"SRS §4.1.20, tr.73; §3.1.8, tr.37–39",Chi tiết J
SRS-4.1.20-05,JPULSE,J,Mã voucher,Thu hồi mã hợp lệ,Quản trị marketing,"SRS §4.1.20, tr.73; §3.1.8, tr.37–39",Chi tiết J
SRS-4.1.20-06,JPULSE,J,Mã voucher,Thiết kế mẫu và hình ảnh,Quản trị marketing,"SRS §4.1.20, tr.73; §3.1.8, tr.37–39",Chi tiết J
SRS-4.1.20-07,JPULSE,J,Phân phối voucher,Gửi voucher qua email,Quản trị marketing,"SRS §4.1.20, tr.73; §3.1.8, tr.37–39",Chi tiết J
SRS-4.1.20-08,JPULSE,J,Phân phối voucher,Xuất voucher Excel,Quản trị marketing,"SRS §4.1.20, tr.73; §3.1.8, tr.37–39",Chi tiết J
SRS-4.1.20-09,JPULSE,J,Tác vụ nền,Theo dõi tiến độ / lỗi,Quản trị marketing,"SRS §4.1.20, tr.73; §3.1.8, tr.37–39",Chi tiết J
SRS-4.1.20-10,JPULSE,J,Tác vụ nền,Tiếp tục tác vụ lỗi,Quản trị marketing,"SRS §4.1.20, tr.73; §3.1.8, tr.37–39",Chi tiết J
